# Title: Mirage F1CT
# Author: Topolo
# Revision: Flight Model Manager ver:1.7.3.54 Date: 2/16/2019 5:13:35 PM
#-----------------------------------------------------
# Comments
#-----------------------------------------------------
#MODIF Falcas ThetaMax / GearPos / Flaps / refuelLocation / elevatorRoll
#MODIF Falcas Wingtip HPT / HasOldLandingLight / Ail, Elv, Rud Angle
#MODIF Falcas 07/09/2012
#MODIF DeeJay Ext tank load order configuration 05/04/2014
#MODIF Rework CL/CD & Thrust + add advanced flaps management by TOPOLO + Limitor
#Switch: 0 - No TGP, 1 - Internal TGP, 2 - External on AC, 3 - External on HP
#Remove IDM and IFF interrogator
#
#-----------------------------------------------------
# SIMULATION INPUT PANEL
#-----------------------------------------------------
#
#-----------------------------------------------------
# INPUT MASS AND GEOMETRIC PROPERTIES
#-----------------------------------------------------
         +17746.000000  # Empty Weight (lbs)
           +269.000000  # Reference Area
          +7499.000000  # Internal Fuel
#-----------------------------------------------------
# ANGLE OF ATTACK AND SIDESLIP LIMITS
#-----------------------------------------------------
            +23.000000  # AOA Max
            -15.000000  # AOA Min
            +15.000000  # Beta Max
            -15.000000  # Beta Min
             +7.200000  # Max G
           +190.000000  # Max Roll
           +250.000000  # Min Vcas
           +800.000000  # Max Vcas
           +420.000000  # Corner Vcas
            +10.000000  # Theta Max
             +3.000000  # Num Gear
#
#Gear    xPos [ft]          yPos [ft]         zPos [ft]         Extent [deg]
         +13.90         +0.00         +5.30         +90
         +30.30         -4.50         +5.30         +90
         +30.30         +4.50         +5.30         +90
#-----------------------------------------------------
# Physical data
#-----------------------------------------------------
            +26.700000  # CG Loc
            +51.000000  # Length
            +28.000000  # Span
             +3.000000  # Fus Radius
            +15.000000  # Tail Ht
#
# End of Airframe data
#
#
#     BASIC AERODYNAMIC COEFFICIENTS
#
# AERODATA OPTIONS MUST BE LISTED HERE
aeropt AdvancedTEF
aeropt LefIncludedinCL
#
#-----------------------------------------------------
#     MACH BREAKPOINTS
#-----------------------------------------------------
+23.000000  # Num MACH
#
  +0.000000  +0.400000  +0.500000  +0.600000  +0.700000  +0.800000  +0.850000  +0.900000  +0.950000  +1.000000
  +1.050000  +1.100000  +1.150000  +1.200000  +1.300000  +1.400000  +1.500000  +1.600000  +1.700000  +1.800000
  +1.900000  +2.000000  +2.500000
#-----------------------------------------------------
#     ALPHA BREAKPOINTS
#-----------------------------------------------------
+44.000000  # Num Alpha
#
  -8.000000  -7.000000  -6.000000  -5.000000  -4.000000  -3.000000  -2.000000  -1.000000  +0.000000  +1.000000
  +2.000000  +3.000000  +4.000000  +5.000000  +6.000000  +7.000000  +8.000000  +9.000000 +10.000000 +11.000000
 +12.000000 +13.000000 +14.000000 +15.000000 +16.000000 +17.000000 +18.000000 +19.000000 +20.000000 +21.000000
 +22.000000 +23.000000 +24.000000 +25.000000 +26.000000 +27.000000 +28.000000 +29.000000 +30.000000 +32.000000
 +34.000000 +36.000000 +38.000000 +40.000000
#-----------------------------------------------------
#     LIFT COEFFICIENT  CL
#-----------------------------------------------------
+1.000000   # Table Multiplier
#
# Mach: 0
  -0.362700  -0.317300  -0.272000  -0.226700  -0.181300  -0.136000  -0.090700  -0.045300  +0.000000  +0.045300
  +0.090700  +0.136000  +0.181300  +0.226700  +0.272000  +0.317300  +0.362700  +0.408000  +0.453300  +0.498700
  +0.544000  +0.589300  +0.634700  +0.680000  +0.725300  +0.770700  +0.816000  +0.853100  +0.890100  +0.927200
  +0.945600  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000  +0.960000
  +0.960000  +0.960000  +0.960000  +0.960000
#
# Mach: 0.4
  -0.362700  -0.317300  -0.272000  -0.226700  -0.181300  -0.136000  -0.090700  -0.045300  +0.000000  +0.045300
  +0.090700  +0.136000  +0.181300  +0.226700  +0.272000  +0.317300  +0.362700  +0.408000  +0.453300  +0.498700
  +0.544000  +0.589300  +0.634700  +0.680000  +0.725300  +0.770700  +0.816000  +0.853100  +0.890100  +0.927200
