Fragment,# Voices,Voice 0,Voice 1,Voice 2,Voice 3,Voice 4 (F),Voice 5,Voice 6 (F),Voice 7,Voice 8,Voice 9,Voice 10,Voice 11,Voice 12 (F),Voice 13,Summary,Eval
0,14,(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),(Key Mike),
1,12,gun,triple-A,gun,ground Fire,triple-A,gun,triple-A,gun,gun,triple-A,gun,triple-A,,,gun,
2,12,abort mission,mission is aborted,mission abort,abort mission,abort mission,abort mission,mission is aborted,mission abort,abort mission,abort mission,mission abort,mission abort,,,abort mission,
3,12,"fighters vectored to assist, ETA","sending assistance, ETA","vectoring support, ETA","vectoring help, ETA","sending help, ETA","fighters in transit, ETA","fighters vectored to assist, ETA","fighters vectored to assist, ETA","help is on its way, ETA","fighters vectored, ETA","fighters vectored to your position, ETA","fighters on their way, ETA",,,,
4,12,approaching drop zone,nearing drop site,approaching drop zone,coming up on the drop zone,preparing for drop,approaching drop zone,nearing drop site,approaching drop zone,coming up on the drop zone,preparing for drop,we're coming up on the drop site,get ready for drop,,,,
5,12,package delivered,drop complete,package delivered,drop complete,delivery complete,package delivered,drop complete,package delivered,drop complete,delivery complete,drop complete,drop complete,,,drop complete,
6,12,chute spotted,I see a chute,I see a chute,chute spotted,good chute,chute spotted,I see a chute,"I see a chute, I see a chute",chute spotted,chute spotted,I see a chute,tally chute,,,,
7,12,pilot spotted,pilot spotted,pilot spotted,tally 1 pilot,pilot spotted,pilot spotted,tally downed pilot,pilot spotted,tally 1 pilot,pilot spotted,pilot spotted,"tally, 1 downed airman",,,pilot spotted,
8,12,mayday airman down,"mayday, mayday, airman down","airman down, airman down","mayday, mayday, airman down","mayday, mayday, airman down","mayday, mayday, airman down","mayday, airman down","mayday, mayday, airman down","mayday, mayday, airman down","mayday, mayday, airman down","mayday, airman down","mayday, mayday",,,,
9,12,setup RESCAP,set RESCAP here,setup RESCAP,setup RESCAP,setup RESCAP,setup RESCAP,setup RESCAP here,setup RESCAP,setup RESCAP here,we will set up a RESCAP here,setup RESCAP here,setup RESCAP,,,,
10,12,make airspeed,set airspeed to,make airspeed,make airspeed,make airspeed,make airspeed,set airspeed to,make airspeed,make airspeed,make airspeed,set airspeed to,go to,,,,
11,12,heading to alternate runway,will recover at alternate,heading to alternate runway,heading to alternate field,recovery will be at alternate,heading to alternate runway,will recover at alternate,heading to alternate runway,heading to alternate field,recovery will be at alternate,will recover at alternate,will recover at alternate,,,,
12,12,on final,on final,on final,on final,on final,gear down,on final,final approach,final,on final,gear down,on final,,,on final,
13,12,attack target at bearing,"attack target, bearing","attack target, bearing","attack target, bearing",attack target at bearing,attack target at bearing,"attack target, bearing","attack target, bearing","attack target, bearing",attack target at bearing,"attack target, bearing","attack target, bearing",,,attack target at bearing,
14,12,I want attack to be,attack will be,make attack,I want attack to be,attack will be,I want attack to be,attack will be,make attack,I want attack to be,attack will be,attack will be,attack will be,,,attack will be,
15,12,"attacking ground target, bullseye","attacking ground target, bullseye","attacking ground target, bullseye","attacking ground target, bullseye","attacking ground target, bullseye","attacking ground target, bullseye","attacking ground target, bullseye","attacking ground target, bullseye","attacking ground target, bullseye","attacking ground target, bullseye","attacking ground target, bullseye","attacking ground target, bullseye",,,,
